命令代码,命令名称,MML Codex,中文显示名称,英文显示名称,标准路径,参数类型,访问权限,原始分组,分析建议分组,原导入动作,删除原因,调整说明
LST DEVICE_INFO,列出 设备基本信息,HEIGHT_TYPE3,HEIGHT_TYPE3,Height Type3,Device.DeviceInfo.AntennaInfo.HeightType3,STRING,READ_ONLY,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,BDS_STATUS,BDS_STATUS,BDS Status,Device.DeviceInfo.BDS_Status,STRING,READ_ONLY,设备信息参数管理,GPS信息参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向GPS/BDS字段映射到标准GPS信息参数管理
LST DEVICE_INFO,列出 设备基本信息,CURRENT_ARFCN,CURRENT_ARFCN,Current Arfcn,Device.DeviceInfo.BTS.CurrentArfcn,STRING,READ_ONLY,设备信息参数管理,DeviceGSM,更新,其他分组已有/不在设备信息范围，从设备信息组删除,GSM/BTS字段映射到DeviceGSM
LST DEVICE_INFO,列出 设备基本信息,CURRENT_LAC,CURRENT_LAC,Current Lac,Device.DeviceInfo.BTS.CurrentLac,STRING,READ_ONLY,设备信息参数管理,DeviceGSM,更新,其他分组已有/不在设备信息范围，从设备信息组删除,GSM/BTS字段映射到DeviceGSM
LST DEVICE_INFO,列出 设备基本信息,MODEL,MODEL,Model,Device.DeviceInfo.CellConfig.{i}.AntennaInfo.Model,STRING,READ_WRITE,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,CLOUD_KEY,CLOUD_KEY,Cloud Key,Device.DeviceInfo.CloudKey,STRING,READ_ONLY,设备信息参数管理,跳过,跳过,未匹配标准南向分组，按多余项不导入,未匹配标准南向分组，按多余项不导入
LST DEVICE_INFO,列出 设备基本信息,DNS_CONFIG_IPMODE,DNS_CONFIG_IPMODE,DNS CONFIG IPMODE,Device.DeviceInfo.DNS_CONFIG_IPMODE,STRING,READ_WRITE,设备信息参数管理,WAN口配置参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向WAN/路由/DNS/接口字段映射到标准WAN口配置参数管理
LST DEVICE_INFO,列出 设备基本信息,DEL_END_PONIT,DEL_END_PONIT,Del End Ponit,Device.DeviceInfo.DelEndPonit,STRING,READ_ONLY,设备信息参数管理,跳过,跳过,对象占位/端点通知字段，不作为配置参数导入,对象占位/端点通知字段，不作为配置参数导入
LST DEVICE_INFO,列出 设备基本信息,ETH1_STATUS_SPEED,ETH1_STATUS_SPEED,ETH1 STATUS SPEED,Device.DeviceInfo.ETH1_STATUS_SPEED,STRING,READ_ONLY,设备信息参数管理,WAN口配置参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向WAN/路由/DNS/接口字段映射到标准WAN口配置参数管理
LST DEVICE_INFO,列出 设备基本信息,ALARM_EVENT_95e501d9,ALARM_EVENT,Alarm Event,Device.DeviceInfo.EU.{i}.AlarmEvent,U_INT,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按EU对象层级映射到标准EU参数管理
LST DEVICE_INFO,列出 设备基本信息,DLCRCSUM_ff2beab0,DLCRCSUM,Dlcrcsum,Device.DeviceInfo.EU.{i}.DLCRCSum,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.DLCRCSum -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.DLCRCSum
LST DEVICE_INFO,列出 设备基本信息,HARDWARE_VERSION_34469a66,HARDWARE_VERSION,Hardware Version,Device.DeviceInfo.EU.{i}.HardwareVersion,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.HardwareVersion -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.HardwareVersion
LST DEVICE_INFO,列出 设备基本信息,HOP_056eeb05,HOP,Hop,Device.DeviceInfo.EU.{i}.Hop,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按EU对象层级映射到标准EU参数管理
LST DEVICE_INFO,列出 设备基本信息,IP_ADDRESS_12f0793c,IP_ADDRESS,Ip Address,Device.DeviceInfo.EU.{i}.IpAddress,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按EU对象层级映射到标准EU参数管理
LST DEVICE_INFO,列出 设备基本信息,MAC_51d9acec,MAC,Mac,Device.DeviceInfo.EU.{i}.Mac,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按EU对象层级映射到标准EU参数管理
LST DEVICE_INFO,列出 设备基本信息,MODEL_NAME_8c5cfcdf,MODEL_NAME,Model Name,Device.DeviceInfo.EU.{i}.ModelName,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.ModelName -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.ModelName
LST DEVICE_INFO,列出 设备基本信息,ALARM_EVENT_c0f96de5,ALARM_EVENT,Alarm Event,Device.DeviceInfo.EU.{i}.RU.{i}.AlarmEvent,U_INT,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,DLCRCSUM_09a4fe48,DLCRCSUM,Dlcrcsum,Device.DeviceInfo.EU.{i}.RU.{i}.DLCRCSum,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,DISTANCE,DISTANCE,Distance,Device.DeviceInfo.EU.{i}.RU.{i}.Distance,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,HARDWARE_VERSION_a3283ff0,HARDWARE_VERSION,Hardware Version,Device.DeviceInfo.EU.{i}.RU.{i}.HardwareVersion,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.RU.{i}.HardwareVersion -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.RU.{i}.HardwareVersion
LST DEVICE_INFO,列出 设备基本信息,HOP_07bff108,HOP,Hop,Device.DeviceInfo.EU.{i}.RU.{i}.Hop,U_INT,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,IP_ADDRESS_3fe22a1a,IP_ADDRESS,Ip Address,Device.DeviceInfo.EU.{i}.RU.{i}.IpAddress,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,ECI,ECI,Eci,Device.DeviceInfo.EU.{i}.RU.{i}.LTECell.{i}.ECI,U_INT,READ_WRITE,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,MAC_6be0ce12,MAC,Mac,Device.DeviceInfo.EU.{i}.RU.{i}.Mac,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,MAX_TX_POWER_8f4f5906,MAX_TX_POWER,Max Tx Power,Device.DeviceInfo.EU.{i}.RU.{i}.MaxTxPower,U_INT,READ_WRITE,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,MODEL_NAME_57aeaf04,MODEL_NAME,Model Name,Device.DeviceInfo.EU.{i}.RU.{i}.ModelName,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.RU.{i}.ModelName -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.RU.{i}.ModelName
LST DEVICE_INFO,列出 设备基本信息,RFTX_STATUS_540741d0,RFTX_STATUS,Rftx Status,Device.DeviceInfo.EU.{i}.RU.{i}.RFTxStatus,BOOLEAN,READ_WRITE,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.RU.{i}.RFTxStatus -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.RU.{i}.RFTxStatus
LST DEVICE_INFO,列出 设备基本信息,REBOOT_5d831ef1,REBOOT,Reboot,Device.DeviceInfo.EU.{i}.RU.{i}.Reboot,BOOLEAN,READ_WRITE,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.RU.{i}.Reboot -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.RU.{i}.Reboot
LST DEVICE_INFO,列出 设备基本信息,ROUTE_INDEX_ae1dc116,ROUTE_INDEX,Route Index,Device.DeviceInfo.EU.{i}.RU.{i}.RouteIndex,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.RU.{i}.RouteIndex -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.RU.{i}.RouteIndex
LST DEVICE_INFO,列出 设备基本信息,SERIAL_NUMBER_635e0d32,SERIAL_NUMBER,Serial Number,Device.DeviceInfo.EU.{i}.RU.{i}.SerialNumber,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.RU.{i}.SerialNumber -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.RU.{i}.SerialNumber
LST DEVICE_INFO,列出 设备基本信息,SOFTWARE_VERSION_3490200c,SOFTWARE_VERSION,Software Version,Device.DeviceInfo.EU.{i}.RU.{i}.SoftwareVersion,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.RU.{i}.SoftwareVersion -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.RU.{i}.SoftwareVersion
LST DEVICE_INFO,列出 设备基本信息,STATUS_7e5b4b75,STATUS,Status,Device.DeviceInfo.EU.{i}.RU.{i}.Status,U_INT,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.RU.{i}.Status -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.RU.{i}.Status
LST DEVICE_INFO,列出 设备基本信息,TYPE_5d673b57,TYPE,Type,Device.DeviceInfo.EU.{i}.RU.{i}.Type,U_INT,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,ULCRCSUM_83267819,ULCRCSUM,Ulcrcsum,Device.DeviceInfo.EU.{i}.RU.{i}.ULCRCSum,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,UMTSPA,UMTSPA,Umtspa,Device.DeviceInfo.EU.{i}.RU.{i}.UMTSPA,BOOLEAN,READ_WRITE,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,UMTSTARGET_POWER,UMTSTARGET_POWER,Umtstarget Power,Device.DeviceInfo.EU.{i}.RU.{i}.UMTSTargetPower,U_INT,READ_WRITE,设备信息参数管理,扩展型皮站-远端单元（RU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按RU对象层级映射到标准RU参数管理
LST DEVICE_INFO,列出 设备基本信息,REBOOT_da078823,REBOOT,Reboot,Device.DeviceInfo.EU.{i}.Reboot,BOOLEAN,READ_WRITE,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.Reboot -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.Reboot
LST DEVICE_INFO,列出 设备基本信息,ROUTE_INDEX_dc9d7e51,ROUTE_INDEX,Route Index,Device.DeviceInfo.EU.{i}.RouteIndex,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.RouteIndex -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.RouteIndex
LST DEVICE_INFO,列出 设备基本信息,SERIAL_NUMBER_dc34b666,SERIAL_NUMBER,Serial Number,Device.DeviceInfo.EU.{i}.SerialNumber,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.SerialNumber -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.SerialNumber
LST DEVICE_INFO,列出 设备基本信息,SOFTWARE_VERSION_d90ddec2,SOFTWARE_VERSION,Software Version,Device.DeviceInfo.EU.{i}.SoftwareVersion,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.SoftwareVersion -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.SoftwareVersion
LST DEVICE_INFO,列出 设备基本信息,STATUS_0e4840e2,STATUS,Status,Device.DeviceInfo.EU.{i}.Status,U_INT,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.Status -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.Status
LST DEVICE_INFO,列出 设备基本信息,TYPE_16939167,TYPE,Type,Device.DeviceInfo.EU.{i}.Type,U_INT,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,按EU对象层级映射到标准EU参数管理
LST DEVICE_INFO,列出 设备基本信息,ULCRCSUM_27e34eae,ULCRCSUM,Ulcrcsum,Device.DeviceInfo.EU.{i}.ULCRCSum,STRING,READ_ONLY,设备信息参数管理,扩展型皮站-扩展单元（EU）参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,标准匹配：Device.DeviceInfo.EU.{i}.ULCRCSum -> Device.DeviceInfo.MU.{i}.Slot.{i}.EU.{i}.ULCRCSum
LST DEVICE_INFO,列出 设备基本信息,ELECTRONIC_DOWNTILT,ELECTRONIC_DOWNTILT,Electronic Downtilt,Device.DeviceInfo.ElectronicDowntilt,BOOLEAN,READ_ONLY,设备信息参数管理,小区服务参数管理（总体）,更新,其他分组已有/不在设备信息范围，从设备信息组删除,天线/射频字段映射到小区服务物理层参数
LST DEVICE_INFO,列出 设备基本信息,ENABLE256QAM,ENABLE256QAM,Enable256QAM,Device.DeviceInfo.Enable256QAM,U_INT,READ_WRITE,设备信息参数管理,跳过,跳过,未匹配标准南向分组，按多余项不导入,未匹配标准南向分组，按多余项不导入
LST DEVICE_INFO,列出 设备基本信息,ENABLE_18ddd8a9,ENABLE,Enable,Device.DeviceInfo.FAPService.UeAccess.Enable,STRING,READ_WRITE,设备信息参数管理,Device.Services.FAPService,更新,其他分组已有/不在设备信息范围，从设备信息组删除,FAPService对象映射到Device.Services.FAPService
LST DEVICE_INFO,列出 设备基本信息,HORIZONTAL_ACCURACY,HORIZONTAL_ACCURACY,Horizontal Accuracy,Device.DeviceInfo.GPS.horizontalAccuracy,U_INT,READ_WRITE,设备信息参数管理,GPS信息参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向GPS/BDS字段映射到标准GPS信息参数管理
LST DEVICE_INFO,列出 设备基本信息,VERTICAL_ACCURACY,VERTICAL_ACCURACY,Vertical Accuracy,Device.DeviceInfo.GPS.verticalAccuracy,U_INT,READ_WRITE,设备信息参数管理,GPS信息参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向GPS/BDS字段映射到标准GPS信息参数管理
LST DEVICE_INFO,列出 设备基本信息,GPS_SATELLITE_LEVEL,GPS_SATELLITE_LEVEL,GPS Satellite level,Device.DeviceInfo.GPS_Satellite_level,INT,READ_ONLY,设备信息参数管理,GPS信息参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向GPS/BDS字段映射到标准GPS信息参数管理
LST DEVICE_INFO,列出 设备基本信息,GPS_STATUS,GPS_STATUS,GPS Status,Device.DeviceInfo.GPS_Status,STRING,READ_ONLY,设备信息参数管理,GPS信息参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向GPS/BDS字段映射到标准GPS信息参数管理
LST DEVICE_INFO,列出 设备基本信息,BTS_RF_POWER,BTS_RF_POWER,Bts Rf Power,Device.DeviceInfo.GSM.BtsRfPower,U_INT,READ_ONLY,设备信息参数管理,DeviceGSM,更新,其他分组已有/不在设备信息范围，从设备信息组删除,GSM/BTS字段映射到DeviceGSM
LST DEVICE_INFO,列出 设备基本信息,HOST_CONFIG_DNS1,HOST_CONFIG_DNS1,HOST CONFIG DNS1,Device.DeviceInfo.HOST_CONFIG_DNS1,STRING,READ_WRITE,设备信息参数管理,WAN口配置参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向WAN/路由/DNS/接口字段映射到标准WAN口配置参数管理
LST DEVICE_INFO,列出 设备基本信息,HOST_CONFIG_DNS2,HOST_CONFIG_DNS2,HOST CONFIG DNS2,Device.DeviceInfo.HOST_CONFIG_DNS2,STRING,READ_WRITE,设备信息参数管理,WAN口配置参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向WAN/路由/DNS/接口字段映射到标准WAN口配置参数管理
LST DEVICE_INFO,列出 设备基本信息,KERNAL_VERSION,KERNAL_VERSION,KERNAL Version,Device.DeviceInfo.KERNAL_Version,STRING,READ_ONLY,设备信息参数管理,软件版本参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向版本/回退字段映射到软件版本参数管理
LST DEVICE_INFO,列出 设备基本信息,LAN_CONFIG_IPADDR,LAN_CONFIG_IPADDR,LAN CONFIG IPADDR,Device.DeviceInfo.LAN_CONFIG_IPADDR,STRING,READ_WRITE,设备信息参数管理,WAN口配置参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向WAN/路由/DNS/接口字段映射到标准WAN口配置参数管理
LST DEVICE_INFO,列出 设备基本信息,LAN_CONFIG_NETMASK,LAN_CONFIG_NETMASK,LAN CONFIG NETMASK,Device.DeviceInfo.LAN_CONFIG_NETMASK,STRING,READ_WRITE,设备信息参数管理,WAN口配置参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向WAN/路由/DNS/接口字段映射到标准WAN口配置参数管理
LST DEVICE_INFO,列出 设备基本信息,LTE_LGW_TRANSFER_MODE,LTE_LGW_TRANSFER_MODE,LTE LGW TRANSFER Mode,Device.DeviceInfo.LTE_LGW_TRANSFER_Mode,INT,READ_WRITE,设备信息参数管理,跳过,跳过,未匹配标准南向分组，按多余项不导入,未匹配标准南向分组，按多余项不导入
LST DEVICE_INFO,列出 设备基本信息,LTE_S1C_IFNAME,LTE_S1C_IFNAME,LTE S1C IFNAME,Device.DeviceInfo.LTE_S1C_IFNAME,STRING,READ_WRITE,设备信息参数管理,WAN口配置参数管理,更新,其他分组已有/不在设备信息范围，从设备信息组删除,南向WAN/路由/DNS/接口字段映射到标准WAN口配置参数管理
