command_code,standard_path,delete_reason
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.B2Threshold2EUTRARSRQ,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.B2Threshold2EUTRASINR,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.Enable,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.Hysteresis,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.MaxReportCells,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.MeasurePurpose,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.PLMNID,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.ReportAmount,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.ReportInterval,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.ReportOnLeave,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.ReportQuantity,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.Threshold2TriggerType,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.ThresholdTriggerType,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.IRAT.B2MeasureCtrl.{i}.TimeToTrigger,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i},不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.A1ThresholdRSRP,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.A1ThresholdRSRQ,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.A1ThresholdSINR,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.Enable,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.Hysteresis,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.IncludeBeamMeasurements,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.MaxNrofRSIndexToReport,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.MaxReportCells,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.MeasurePurpose,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.PLMNID,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.ReportAmount,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.ReportInterval,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.ReportOnLeave,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.ReportQuantityCell,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.RptQuantityRsIndex,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.RsType,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.ThresholdTriggerType,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A1MeasureCtrl.{i}.TimeToTrigger,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i},不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.A2ThresholdRSRP,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.A2ThresholdRSRQ,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.A2ThresholdSINR,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.Enable,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.Hysteresis,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.IncludeBeamMeasurements,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.MaxNrofRSIndexToReport,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.MaxReportCells,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.MeasurePurpose,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.PLMNID,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.ReportAmount,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.ReportInterval,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.ReportOnLeave,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.ReportQuantityCell,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.RptQuantityRsIndex,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.RsType,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.ThresholdTriggerType,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A2MeasureCtrl.{i}.TimeToTrigger,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i},不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.A3OffsetRSRP,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.A3OffsetRSRQ,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.A3OffsetSINR,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.Enable,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.Hysteresis,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.IncludeBeamMeasurements,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.MaxNrofRSIndexToReport,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.MaxReportCells,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.MeasurePurpose,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.PLMNID,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
LST FAP_SERVICE,Device.Services.FAPService.{i}.CellConfig.{i}.NR.RAN.Mobility.ConnMode.NR.A3MeasureCtrl.{i}.ReportAmount,不在当前 TD-LTE SF 小区服务 catalog 白名单，属于旧扩展/私有/跨分组路径绑定
