standard_path,current_sp_access,data_type,instance_count,any_writable,all_writable,proposed_change
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.ResponseWindowSize,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.RACH.SizeOfRaGroupA,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.ULSCH.MaxHARQTx,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.ULSCH.PeriodicBSRTimer,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.ULSCH.RetxBSRTimer,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.MAC.ULSCH.TTIBundling,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.IRAT.MeasQuantityUTRAFDD,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.IRAT.QoffsetGERAN,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.GERAN.TReselectionGERAN,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.IRAT.UTRA.TReselectionUTRA,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.TReselectionEUTRASFHigh,READ_WRITE,STRING,8,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.TReselectionEUTRASFMedium,READ_WRITE,STRING,8,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.IntraFreq.TReselectionEUTRASFHigh,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.IntraFreq.TReselectionEUTRASFMedium,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.NeighCellTypeContainer,READ_WRITE,STRING,6,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.RSTxPower,READ_WRITE,INT,6,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.X_COM_TAC,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.AntennaInfo.AntennaPortsCount,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.AntennaInfo.Multiplex,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PRACH.HighSpeedFlag,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.CQIPUCCHResourceIndex,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.DeltaPUCCHShift,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.K,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.N1PUCCHAN,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.NCSAN,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUCCH.NRBCQI,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUSCH.Enable64QAM,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUSCH.HoppingMode,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUSCH.HoppingOffset,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.PUSCH.NSB,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.SRS.AckNackSRSSimultaneousTransmission,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.SRS.SRSBandwidthConfig,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.SRS.SRSEnabled,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.PHY.SRS.SRSMaxUpPTS,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.AdminCellState,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.LteCellWithRuList,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.PBCHPowerOffset,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.PSCHPowerOffset,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.SSCHPowerOffset,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.X_COM_RadioEnable,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.FAPControl.EciAutoEnable,READ_WRITE,STRING,1,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.FAPControl.LTE.AdminState,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.ExistPlmnidList,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.SecGWServer1,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.SecGWServer2,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.FAPControl.LTE.Gateway.SecGWServer3,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.FAPControl.LTE.OpState,READ_WRITE,STRING,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.FAPControl.LTE.RFTxStatus,READ_WRITE,BOOLEAN,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.Transport.SCTP.HBInterval,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.Transport.SCTP.MaxAssociationRetransmits,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.Transport.SCTP.MaxInitRetransmits,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.Transport.SCTP.MaxPathRetransmits,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.Transport.SCTP.RTOInitial,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.Transport.SCTP.RTOMax,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.Transport.SCTP.RTOMin,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
Device.Services.FAPService.{i}.Transport.SCTP.ValCookieLife,READ_WRITE,U_INT,2,0,0,NARROW_to_RO
