path,current_db_match,match_kind,confidence,chapter_code,chapter_name,command_name,command_code,operation_type,matched_object_prefix,matched_command_count,matched_commands,reason
Device.Ethernet.Interface.{i}.PppoeAddress.{i},yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,以太网接口,ADD ETHERNET_INTERFACE,ADD,Device.Ethernet.Interface.,5,ADD ADD ETHERNET_INTERFACE 以太网接口; ADD ADD INTERFACE 以太网接口; LST LST ETHERNET_INTERFACE 以太网接口; MOD MOD ETHERNET_INTERFACE 以太网接口; RMV RMV ETHERNET_INTERFACE 以太网接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
DeviceGSM.Bts.Trx.Index,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Ethernet.Interface.{i}.VlanInterface.{i},yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口,ADD VLAN_INTERFACE,ADD,Device.Ethernet.Interface.VlanInterface.,4,ADD ADD VLAN_INTERFACE VLAN 子接口; LST LST VLAN_INTERFACE VLAN 子接口; MOD MOD VLAN_INTERFACE VLAN 子接口; RMV RMV VLAN_INTERFACE VLAN 子接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i},yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口,ADD VLAN_INTERFACE,ADD,Device.Ethernet.Interface.VlanInterface.,4,ADD ADD VLAN_INTERFACE VLAN 子接口; LST LST VLAN_INTERFACE VLAN 子接口; MOD MOD VLAN_INTERFACE VLAN 子接口; RMV RMV VLAN_INTERFACE VLAN 子接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
DeviceGSM.Bts.{i}.handover2.afs-bias.rxlev,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.afs-bias.rxqual,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover1.power.budget.hysteresis,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover1.power.budget.interval,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.power.budget.hysteresis,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.power.budget.interval,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.assignment,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.max-handovers,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.retries,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.tdma-measurement,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover1.maximum.distance,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.maximum.distance,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.min.rxlev,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.min.rxqual,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.min-free-slots.tch-f,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.min-free-slots.tch-h,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover1.window.rxlev.neighbor.averaging,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.window.rxlev.neighbor.averaging,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.penalty-time.failed-assignment,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.penalty-time.failed-ho,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.penalty-time.low-rxqual-assignment,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.penalty-time.low-rxqual-ho,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.penalty-time.max-distance,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover1.window.rxlev.averaging,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.window.rxlev.averaging,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover1.window.rxqual.averaging,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.handover2.window.rxqual.averaging,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.Ipv4SubnetMask,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,以太网接口,ADD ETHERNET_INTERFACE,ADD,Device.Ethernet.Interface.,5,ADD ADD ETHERNET_INTERFACE 以太网接口; ADD ADD INTERFACE 以太网接口; LST LST ETHERNET_INTERFACE 以太网接口; MOD MOD ETHERNET_INTERFACE 以太网接口; RMV RMV ETHERNET_INTERFACE 以太网接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeAddressType,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,以太网接口,ADD ETHERNET_INTERFACE,ADD,Device.Ethernet.Interface.,5,ADD ADD ETHERNET_INTERFACE 以太网接口; ADD ADD INTERFACE 以太网接口; LST LST ETHERNET_INTERFACE 以太网接口; MOD MOD ETHERNET_INTERFACE 以太网接口; RMV RMV ETHERNET_INTERFACE 以太网接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeConnectStatus,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,以太网接口,ADD ETHERNET_INTERFACE,ADD,Device.Ethernet.Interface.,5,ADD ADD ETHERNET_INTERFACE 以太网接口; ADD ADD INTERFACE 以太网接口; LST LST ETHERNET_INTERFACE 以太网接口; MOD MOD ETHERNET_INTERFACE 以太网接口; RMV RMV ETHERNET_INTERFACE 以太网接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeDiallingMethod,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,以太网接口,ADD ETHERNET_INTERFACE,ADD,Device.Ethernet.Interface.,5,ADD ADD ETHERNET_INTERFACE 以太网接口; ADD ADD INTERFACE 以太网接口; LST LST ETHERNET_INTERFACE 以太网接口; MOD MOD ETHERNET_INTERFACE 以太网接口; RMV RMV ETHERNET_INTERFACE 以太网接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeIpAddress,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,以太网接口,ADD ETHERNET_INTERFACE,ADD,Device.Ethernet.Interface.,5,ADD ADD ETHERNET_INTERFACE 以太网接口; ADD ADD INTERFACE 以太网接口; LST LST ETHERNET_INTERFACE 以太网接口; MOD MOD ETHERNET_INTERFACE 以太网接口; RMV RMV ETHERNET_INTERFACE 以太网接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoePassword,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,以太网接口,ADD ETHERNET_INTERFACE,ADD,Device.Ethernet.Interface.,5,ADD ADD ETHERNET_INTERFACE 以太网接口; ADD ADD INTERFACE 以太网接口; LST LST ETHERNET_INTERFACE 以太网接口; MOD MOD ETHERNET_INTERFACE 以太网接口; RMV RMV ETHERNET_INTERFACE 以太网接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeUser,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,以太网接口,ADD ETHERNET_INTERFACE,ADD,Device.Ethernet.Interface.,5,ADD ADD ETHERNET_INTERFACE 以太网接口; ADD ADD INTERFACE 以太网接口; LST LST ETHERNET_INTERFACE 以太网接口; MOD MOD ETHERNET_INTERFACE 以太网接口; RMV RMV ETHERNET_INTERFACE 以太网接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.Ipv4SubnetMask,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口,ADD VLAN_INTERFACE,ADD,Device.Ethernet.Interface.VlanInterface.,4,ADD ADD VLAN_INTERFACE VLAN 子接口; LST LST VLAN_INTERFACE VLAN 子接口; MOD MOD VLAN_INTERFACE VLAN 子接口; RMV RMV VLAN_INTERFACE VLAN 子接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeAddressType,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口,ADD VLAN_INTERFACE,ADD,Device.Ethernet.Interface.VlanInterface.,4,ADD ADD VLAN_INTERFACE VLAN 子接口; LST LST VLAN_INTERFACE VLAN 子接口; MOD MOD VLAN_INTERFACE VLAN 子接口; RMV RMV VLAN_INTERFACE VLAN 子接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeConnectStatus,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口,ADD VLAN_INTERFACE,ADD,Device.Ethernet.Interface.VlanInterface.,4,ADD ADD VLAN_INTERFACE VLAN 子接口; LST LST VLAN_INTERFACE VLAN 子接口; MOD MOD VLAN_INTERFACE VLAN 子接口; RMV RMV VLAN_INTERFACE VLAN 子接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeDiallingMethod,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口,ADD VLAN_INTERFACE,ADD,Device.Ethernet.Interface.VlanInterface.,4,ADD ADD VLAN_INTERFACE VLAN 子接口; LST LST VLAN_INTERFACE VLAN 子接口; MOD MOD VLAN_INTERFACE VLAN 子接口; RMV RMV VLAN_INTERFACE VLAN 子接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeIpAddress,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口,ADD VLAN_INTERFACE,ADD,Device.Ethernet.Interface.VlanInterface.,4,ADD ADD VLAN_INTERFACE VLAN 子接口; LST LST VLAN_INTERFACE VLAN 子接口; MOD MOD VLAN_INTERFACE VLAN 子接口; RMV RMV VLAN_INTERFACE VLAN 子接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoePassword,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口,ADD VLAN_INTERFACE,ADD,Device.Ethernet.Interface.VlanInterface.,4,ADD ADD VLAN_INTERFACE VLAN 子接口; LST LST VLAN_INTERFACE VLAN 子接口; MOD MOD VLAN_INTERFACE VLAN 子接口; RMV RMV VLAN_INTERFACE VLAN 子接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeUser,yes,object_prefix_current_command_node,medium,SL,WAN口配置参数管理,VLAN 子接口,ADD VLAN_INTERFACE,ADD,Device.Ethernet.Interface.VlanInterface.,4,ADD ADD VLAN_INTERFACE VLAN 子接口; LST LST VLAN_INTERFACE VLAN 子接口; MOD MOD VLAN_INTERFACE VLAN 子接口; RMV RMV VLAN_INTERFACE VLAN 子接口,当前命令节点已有相同对象前缀，可作为该 path 的现成命令节点归属
Device.Services.GsmBTSCellDT.{i}.BscSelect,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.CurrLocAreaCode,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.CurrentArfcn,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.GsmBSIC,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.GsmBtsBand,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.GsmBtsBindMib,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.GsmBtsRFPower,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.GsmCellID,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.GsmCellWithRuRelation,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.GsmMACStubVal,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.GsmMACTraceMsgType,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.GsmMACTraceNum,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.GsmMACTtiSwitch,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.IPAUnitID,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.MobileNetworkCode,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.NetworkCountryCode,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.OMLRemoteIP,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.OMLRemoteIPBak,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.OpState,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.RfState,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
Device.Services.GsmBTSCellDT.{i}.UeCount,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.Band,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.Bsic,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.C0PowerRed,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.CellId,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.CellReselectHysteresis,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.CellReselectOffset,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.CellReselectPenaltyTime,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.CodecSupport,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.GprsMode,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.HandoverAlgorithm,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.IpaRslIp,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.IpaUnitId,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.LocationAreaCode,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.MsMaxPower,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.NeighborCgiAdd,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.NeighborCgiDel,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.NumofTrxChannel,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.OmlConnectState,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.OmlIpaStreamId,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
DeviceGSM.Bts.{i}.RachCellBarred,no,no_current_db_command_node,no,,,,,,,0,,当前 mml_command_groups 只有 18 个章节，且 198 个命令节点均未覆盖该 path 的 exact 或对象前缀
