chapter_code,chapter_name,command_name,command_code,operation_type,match_kind,path_count,sample_paths
SL,WAN口配置参数管理,VLAN 子接口,MOD VLAN_INTERFACE,MOD,object_prefix_current_command_node,9,Device.Ethernet.Interface.{i}.VlanInterface.{i}; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoePassword
SL,WAN口配置参数管理,以太网接口,RMV ETHERNET_INTERFACE,RMV,object_prefix_current_command_node,9,Device.Ethernet.Interface.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoePassword
SL,WAN口配置参数管理,VLAN 子接口,RMV VLAN_INTERFACE,RMV,object_prefix_current_command_node,9,Device.Ethernet.Interface.{i}.VlanInterface.{i}; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoePassword
SI,邻区参数管理,LTE 同系统邻区,ADD LTE_CELL,ADD,object_prefix_current_command_node,8,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.CID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.CIO; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.EUTRACarrierARFCN; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.PLMNID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.PhyCellID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.QOffset; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.TAC
SI,邻区参数管理,LTE 同系统邻区,LST LTE_CELL,LST,object_prefix_current_command_node,8,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.CID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.CIO; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.EUTRACarrierARFCN; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.PLMNID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.PhyCellID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.QOffset; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.TAC
SI,邻区参数管理,LTE 同系统邻区,MOD LTE_CELL,MOD,object_prefix_current_command_node,8,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.CID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.CIO; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.EUTRACarrierARFCN; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.PLMNID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.PhyCellID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.QOffset; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.TAC
SI,邻区参数管理,LTE 同系统邻区,RMV LTE_CELL,RMV,object_prefix_current_command_node,8,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.CID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.CIO; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.EUTRACarrierARFCN; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.PLMNID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.PhyCellID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.QOffset; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.TAC
SJ,移动性参数管理,空闲态异频载波,ADD CARRIER,ADD,object_prefix_current_command_node,8,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.CellReselectionPriority; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.EUTRACarrierARFCN; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.PMax; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QOffsetFreq; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QRxLevMinSIB5; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXHigh; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXLow
SJ,移动性参数管理,空闲态异频载波,LST CARRIER,LST,object_prefix_current_command_node,8,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.CellReselectionPriority; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.EUTRACarrierARFCN; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.PMax; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QOffsetFreq; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QRxLevMinSIB5; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXHigh; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXLow
SJ,移动性参数管理,空闲态异频载波,MOD CARRIER,MOD,object_prefix_current_command_node,8,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.CellReselectionPriority; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.EUTRACarrierARFCN; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.PMax; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QOffsetFreq; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QRxLevMinSIB5; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXHigh; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXLow
SJ,移动性参数管理,空闲态异频载波,RMV CARRIER,RMV,object_prefix_current_command_node,8,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.CellReselectionPriority; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.EUTRACarrierARFCN; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.PMax; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QOffsetFreq; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QRxLevMinSIB5; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXHigh; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXLow
SF,小区服务参数管理（总体）,FAP 载波能力集,LST FAP_SERVICE_CAPABILITIES,LST,object_prefix_current_command_node,4,Device.Services.FAPService.{i}.Capabilities.LTE.BandsSupported; Device.Services.FAPService.{i}.Capabilities.LTE.DuplexMode; Device.Services.FAPService.{i}.Capabilities.LTE.SupportActiveRRCNumbers; Device.Services.FAPService.{i}.Capabilities.LTE.UeInactiveTimer
SF,小区服务参数管理（总体）,FAP 载波能力集,MOD FAP_SERVICE_CAPABILITIES,MOD,object_prefix_current_command_node,4,Device.Services.FAPService.{i}.Capabilities.LTE.BandsSupported; Device.Services.FAPService.{i}.Capabilities.LTE.DuplexMode; Device.Services.FAPService.{i}.Capabilities.LTE.SupportActiveRRCNumbers; Device.Services.FAPService.{i}.Capabilities.LTE.UeInactiveTimer
SC,基站网管参数管理,基站网管连接,LST MANAGEMENT_SERVER,LST,object_prefix_current_command_node,2,Device.ManagementServer.sslStatus.endDate; Device.ManagementServer.sslStatus.startDate
SC,基站网管参数管理,基站网管连接,MOD MANAGEMENT_SERVER,MOD,object_prefix_current_command_node,2,Device.ManagementServer.sslStatus.endDate; Device.ManagementServer.sslStatus.startDate
SJ,移动性参数管理,连接态 IRAT 测量,LST CONN_MODE_IRAT,LST,object_prefix_current_command_node,1,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.IRAT.X_COM_UTRANTDD.B2Threshold2UTRATDDRSCP
SJ,移动性参数管理,连接态 IRAT 测量,MOD CONN_MODE_IRAT,MOD,object_prefix_current_command_node,1,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.ConnMode.IRAT.X_COM_UTRANTDD.B2Threshold2UTRATDDRSCP
SL,WAN口配置参数管理,静态路由表项,ADD ETHERNET_IP_ROUTE,ADD,object_prefix_current_command_node,1,Device.Ethernet.IpRoute.{i}
SL,WAN口配置参数管理,接口 IPv4 地址,ADD INTERFACE_I_PV4_ADDRESS,ADD,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.IPv4Address.{i}
SL,WAN口配置参数管理,接口 IPv6 地址,ADD INTERFACE_I_PV6_ADDRESS,ADD,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.IPv6Address.{i}
SL,WAN口配置参数管理,静态路由表项,ADD IP_ROUTE,ADD,object_prefix_current_command_node,1,Device.Ethernet.IpRoute.{i}
SL,WAN口配置参数管理,VLAN 子接口 IPv4 地址,ADD VLAN_INTERFACE_I_PV4_ADDRESS,ADD,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}
SL,WAN口配置参数管理,VLAN 子接口 IPv6 地址,ADD VLAN_INTERFACE_I_PV6_ADDRESS,ADD,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}
SL,WAN口配置参数管理,静态路由表项,LST ETHERNET_IP_ROUTE,LST,object_prefix_current_command_node,1,Device.Ethernet.IpRoute.{i}
SL,WAN口配置参数管理,接口 IPv4 地址,LST INTERFACE_I_PV4_ADDRESS,LST,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.IPv4Address.{i}
SL,WAN口配置参数管理,接口 IPv6 地址,LST INTERFACE_I_PV6_ADDRESS,LST,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.IPv6Address.{i}
SL,WAN口配置参数管理,VLAN 子接口 IPv4 地址,LST VLAN_INTERFACE_I_PV4_ADDRESS,LST,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}
SL,WAN口配置参数管理,VLAN 子接口 IPv6 地址,LST VLAN_INTERFACE_I_PV6_ADDRESS,LST,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}
SL,WAN口配置参数管理,静态路由表项,MOD ETHERNET_IP_ROUTE,MOD,object_prefix_current_command_node,1,Device.Ethernet.IpRoute.{i}
SL,WAN口配置参数管理,接口 IPv4 地址,MOD INTERFACE_I_PV4_ADDRESS,MOD,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.IPv4Address.{i}
SL,WAN口配置参数管理,接口 IPv6 地址,MOD INTERFACE_I_PV6_ADDRESS,MOD,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.IPv6Address.{i}
SL,WAN口配置参数管理,VLAN 子接口 IPv4 地址,MOD VLAN_INTERFACE_I_PV4_ADDRESS,MOD,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}
SL,WAN口配置参数管理,VLAN 子接口 IPv6 地址,MOD VLAN_INTERFACE_I_PV6_ADDRESS,MOD,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}
SL,WAN口配置参数管理,静态路由表项,RMV ETHERNET_IP_ROUTE,RMV,object_prefix_current_command_node,1,Device.Ethernet.IpRoute.{i}
SL,WAN口配置参数管理,接口 IPv4 地址,RMV INTERFACE_I_PV4_ADDRESS,RMV,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.IPv4Address.{i}
SL,WAN口配置参数管理,接口 IPv6 地址,RMV INTERFACE_I_PV6_ADDRESS,RMV,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.IPv6Address.{i}
SL,WAN口配置参数管理,VLAN 子接口 IPv4 地址,RMV VLAN_INTERFACE_I_PV4_ADDRESS,RMV,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv4Address.{i}
SL,WAN口配置参数管理,VLAN 子接口 IPv6 地址,RMV VLAN_INTERFACE_I_PV6_ADDRESS,RMV,object_prefix_current_command_node,1,Device.Ethernet.Interface.{i}.VlanInterface.{i}.IPv6Address.{i}
