path,strict_mml_tree_match,strict_match_level,strict_reason,rematch_decision,rematch_confidence,matched_chapter_code,matched_chapter_name,matched_group_name,matched_object_path,matched_group_code,match_source_type,match_source_file,old_target_chapter_code,old_target_chapter_name,old_target_node_name,old_target_object_path,access,data_type
DeviceGSM.Bts.Trx.Index,no,not_mml_tree_param_mapping_object_only,只命中 param-mappings XML object，缺少 mml_command_groups/mml_commands 节点,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,,,Trx,DeviceGSM.Bts.Trx.,READ_ONLY,U_INT
Device.Ethernet.Interface.{i}.VlanInterface.{i},yes,direct_existing_mml_group,同 target_group_code 已有 MML 参数，属于当前参数树分组,YES_SAME_EXISTING_GROUP_CODE,high,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,DEVICE_ETHERNET_INTERFACE_VLANINTERFACE,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,,,VlanInterface,Device.Ethernet.Interface.{i}.VlanInterface.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i},yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,VlanPppoeAddress,Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.,READ_WRITE,STRING
DeviceGSM.Bts.{i}.handover2.afs-bias.rxlev,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.afs-bias.rxlev),,,afs-bias,DeviceGSM.Bts.{i}.handover2.afs-bias.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.afs-bias.rxqual,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.afs-bias.rxqual),,,afs-bias,DeviceGSM.Bts.{i}.handover2.afs-bias.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover1.power.budget.hysteresis,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.power.budget.hysteresis),,,budget,DeviceGSM.Bts.{i}.handover1.power.budget.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover1.power.budget.interval,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.power.budget.interval),,,budget,DeviceGSM.Bts.{i}.handover1.power.budget.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.power.budget.hysteresis,no,not_mml_tree_param_mapping_object_only,只命中 param-mappings XML object，缺少 mml_command_groups/mml_commands 节点,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,,,budget,DeviceGSM.Bts.{i}.handover2.power.budget.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.power.budget.interval,no,not_mml_tree_param_mapping_object_only,只命中 param-mappings XML object，缺少 mml_command_groups/mml_commands 节点,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,,,budget,DeviceGSM.Bts.{i}.handover2.power.budget.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.assignment,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2_assignment),,,handover2,DeviceGSM.Bts.{i}.handover2.,READ_ONLY,STRING
DeviceGSM.Bts.{i}.handover2.max-handovers,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.max-handovers),,,handover2,DeviceGSM.Bts.{i}.handover2.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.retries,no,not_mml_tree_param_mapping_object_only,只命中 param-mappings XML object，缺少 mml_command_groups/mml_commands 节点,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,,,handover2,DeviceGSM.Bts.{i}.handover2.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.tdma-measurement,no,not_mml_tree_param_mapping_object_only,只命中 param-mappings XML object，缺少 mml_command_groups/mml_commands 节点,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,,,handover2,DeviceGSM.Bts.{i}.handover2.,READ_ONLY,STRING
DeviceGSM.Bts.{i}.handover1.maximum.distance,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.maximum.distance),,,maximum,DeviceGSM.Bts.{i}.handover1.maximum.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.maximum.distance,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.maximum.distance),,,maximum,DeviceGSM.Bts.{i}.handover2.maximum.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.min.rxlev,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.min.rxlev),,,min,DeviceGSM.Bts.{i}.handover2.min.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.min.rxqual,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.min.rxqual),,,min,DeviceGSM.Bts.{i}.handover2.min.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.min-free-slots.tch-f,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.min-free-slots.tch-f),,,min-free-slots,DeviceGSM.Bts.{i}.handover2.min-free-slots.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.min-free-slots.tch-h,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.min-free-slots.tch-h),,,min-free-slots,DeviceGSM.Bts.{i}.handover2.min-free-slots.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover1.window.rxlev.neighbor.averaging,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.window.rxlev.neighbor.averaging),,,neighbor,DeviceGSM.Bts.{i}.handover1.window.rxlev.neighbor.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.window.rxlev.neighbor.averaging,no,not_mml_tree_param_mapping_object_only,只命中 param-mappings XML object，缺少 mml_command_groups/mml_commands 节点,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,,,neighbor,DeviceGSM.Bts.{i}.handover2.window.rxlev.neighbor.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.penalty-time.failed-assignment,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.penalty-time.failed-assignment),,,penalty-time,DeviceGSM.Bts.{i}.handover2.penalty-time.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.penalty-time.failed-ho,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.penalty-time.failed-ho),,,penalty-time,DeviceGSM.Bts.{i}.handover2.penalty-time.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.penalty-time.low-rxqual-assignment,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.penalty-time.low-rxqual-assignment),,,penalty-time,DeviceGSM.Bts.{i}.handover2.penalty-time.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.penalty-time.low-rxqual-ho,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover2.penalty-time.low-rxqual-ho),,,penalty-time,DeviceGSM.Bts.{i}.handover2.penalty-time.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.penalty-time.max-distance,no,not_mml_tree_param_mapping_object_only,只命中 param-mappings XML object，缺少 mml_command_groups/mml_commands 节点,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,,,penalty-time,DeviceGSM.Bts.{i}.handover2.penalty-time.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover1.window.rxlev.averaging,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.window.rxlev.averaging),,,rxlev,DeviceGSM.Bts.{i}.handover1.window.rxlev.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.window.rxlev.averaging,no,not_mml_tree_param_mapping_object_only,只命中 param-mappings XML object，缺少 mml_command_groups/mml_commands 节点,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,,,rxlev,DeviceGSM.Bts.{i}.handover2.window.rxlev.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover1.window.rxqual.averaging,no,not_mml_tree_quicksettings_only,只命中 quicksettings XML，quicksettings 不是 MML 配置参数树数据源,YES_QUICKSETTINGS_XML_GROUP,high,,,切换配置,,bsc-bts-handover,quicksettings_xml_exact_standardPath,omcgo/data/quicksettings/BSC.xml#bsc-bts-handover:切换配置(handover1.window.rxqual.averaging),,,rxqual,DeviceGSM.Bts.{i}.handover1.window.rxqual.,READ_ONLY,U_INT
DeviceGSM.Bts.{i}.handover2.window.rxqual.averaging,no,not_mml_tree_param_mapping_object_only,只命中 param-mappings XML object，缺少 mml_command_groups/mml_commands 节点,YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,,,rxqual,DeviceGSM.Bts.{i}.handover2.window.rxqual.,READ_ONLY,U_INT
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.Ipv4SubnetMask,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeAddressType,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeConnectStatus,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeDiallingMethod,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeIpAddress,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoePassword,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeUser,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.Ipv4SubnetMask,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeAddressType,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeConnectStatus,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeDiallingMethod,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,READ_WRITE,STRING
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeIpAddress,yes,existing_mml_parent_object_group,命中 mmlstandardloader seed/catalog 的现有 object_path 分组；加入 sub_field 后可显示在当前参数树,YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,,,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,READ_WRITE,STRING
