standard_path,link_count,command_count,operation_types,chapter_codes,command_codes,group_codes,description
Device.DeviceInfo.ROUTE_CONFIG10_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG10_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG10_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG10_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG10_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG10_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG10_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG10_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG11_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG11_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG11_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG11_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG11_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG11_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG11_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG11_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG12_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG12_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG12_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG12_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG12_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG12_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG12_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG12_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG1_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG1_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG1_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG1_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG1_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG1_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG1_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG1_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG2_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG2_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG2_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG2_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG2_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG2_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG2_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG2_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG3_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG3_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG3_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG3_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG3_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG3_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG3_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG3_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG4_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG4_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG4_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG4_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG4_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG4_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG4_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG4_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG5_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG5_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG5_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG5_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG5_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG5_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG5_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG5_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG6_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG6_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG6_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG6_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG6_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG6_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG7_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG7_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG7_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG7_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG7_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG7_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG7_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG7_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG8_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG8_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG8_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG8_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG8_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG8_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG8_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG8_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG9_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG9_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG9_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG9_ONBOOTENB,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG9_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG9_V6_NETADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG9_V6_ONBOOT,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.ROUTE_CONFIG9_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.RunningStatus,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.STATIC_DNS_ENABLE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.SiteId,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.SlaveInterface,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.SlaveInterfaceIP,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.SupportedPowerRange,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.UeAmbrDl,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.UeAmbrUl,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.UserLabel,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG10_DEFAULTGW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG10_ENABLE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG10_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG10_IPMODE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG10_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG10_OPTION60,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG10_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG10_V6_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG10_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG10_VLAN,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG11_DEFAULTGW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG11_ENABLE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG11_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG11_IPMODE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG11_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG11_OPTION60,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG11_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG11_V6_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG11_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG11_VLAN,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG12_DEFAULTGW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG12_ENABLE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG12_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG12_IPMODE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG12_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG12_OPTION60,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG12_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG12_V6_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG12_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG12_VLAN,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG1_CONNECT_TYPE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG1_DEFAULTGW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG1_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG1_IPMODE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG1_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG1_OPTION60,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG1_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG1_V6_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG1_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG1_VLAN,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG2_DEFAULTGW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG2_ENABLE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG2_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG2_IPMODE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG2_NETMASK,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG2_OPTION60,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG2_V6_GW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG2_V6_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG2_V6_PREFIX,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG2_VLAN,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG3_DEFAULTGW,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG3_ENABLE,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
Device.DeviceInfo.WAN_CONFIG3_IPADDR,2,2,"LST,MOD",SA,LST DEVICE_INFO; MOD DEVICE_INFO,chapter:SA,
