path,secondary_node_match,secondary_match_kind,secondary_confidence,reason,chapter_code,chapter_name,secondary_node_name,secondary_object_path,secondary_group_code,source_type,source_file,rematch_decision,strict_match_level,access,data_type,old_target_node_name,old_target_object_path,old_target_group_code
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeAddressType,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeConnectStatus,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeDiallingMethod,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeIpAddress,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoePassword,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeUser,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.PppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.Ipv4SubnetMask,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeAddressType,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeConnectStatus,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeDiallingMethod,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeIpAddress,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoePassword,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,
Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeUser,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,{i},Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.,
Device.DeviceInfo.AntennaInfo.Azimuth,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Azimuth2,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Azimuth3,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Beamwidth,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Beamwidth2,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Beamwidth3,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Downtilt,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Downtilt2,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Downtilt3,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Gain,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Gain2,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Gain3,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Height,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,U_INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Height2,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,U_INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.Height3,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,U_INT,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.HeightType,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.HeightType2,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_ONLY,STRING,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.AntennaInfo.HeightType3,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_ONLY,STRING,AntennaInfo,Device.DeviceInfo.AntennaInfo.,
Device.DeviceInfo.CellConfig.{i}.AntennaInfo.Model,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,STRING,AntennaInfo,Device.DeviceInfo.CellConfig.{i}.AntennaInfo.,
Device.DeviceInfo.SAS.CPI.cpiLatitude,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,CPI,Device.DeviceInfo.SAS.CPI.,
Device.DeviceInfo.SAS.CPI.cpiLongitude,yes,existing_command_object_parent,medium,path 位于当前 MML seed/catalog 二级命令节点 object_path 下，可挂入该二级节点；需确认分组是否过粗,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,YES_EXISTING_JSON_PARENT_GROUP,existing_mml_parent_object_group,READ_WRITE,INT,CPI,Device.DeviceInfo.SAS.CPI.,
